OBJECTID,ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Length,经度,纬度
69,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.300509,30.55548834
70,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3005192,30.55548594
71,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3005293,30.55548353
72,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3005395,30.55548113
73,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3005497,30.55547872
74,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3005598,30.55547632
75,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.30057,30.55547392
76,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3005802,30.55547151
77,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3005903,30.55546911
78,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006005,30.5554667
79,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006107,30.5554643
80,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006208,30.5554619
81,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.300631,30.55545949
82,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006411,30.55545709
83,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006513,30.55545468
84,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006615,30.55545228
85,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006716,30.55544987
86,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3006818,30.55544747
87,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.300692,30.55544507
88,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007021,30.55544266
89,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007123,30.55544026
90,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007224,30.55543785
91,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007326,30.55543545
92,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007428,30.55543305
93,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007529,30.55543064
94,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007631,30.55542824
95,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007733,30.55542583
96,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007834,30.55542344
97,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3007936,30.55542104
98,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008038,30.55541865
99,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008139,30.55541626
100,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008241,30.55541386
101,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008342,30.55541147
102,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008444,30.55540907
103,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008546,30.55540668
104,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008647,30.55540428
105,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008749,30.55540189
106,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008851,30.55539949
107,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3008952,30.5553971
